prod_cat_name,prod_cat_name_eng
casa_construcao,home_construction
cool_stuff,cool_stuff
fashion_roupa_feminina,fashio_female_clothing
casa_conforto,home_confort
beauty_health,health_beauty
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
livros_tecnicos,books_technical
flores,flowers
alimentos_bebidas,food_drink
industria_comercio_e_negocios,industry_commerce_and_business
pcs,computers
casa_conforto,home_confort
seguros_e_servicos,security_and_services
casa_conforto_2,home_comfort_2
papelaria,stationery
furniture_decor,furniture_decor
eletroportateis,small_appliances
fashion_roupa_masculina,fashion_male_clothing
construcao_ferramentas_seguranca,construction_tools_safety
cds_dvds_musicais,cds_dvds_musicals
telefonia_fixa,fixed_telephony
artes_e_artesanato,arts_and_craftmanship
alimentos_bebidas,food_drink
moveis_escritorio,office_furniture
eletrodomesticos,home_appliances
dvds_blu_ray,dvds_blu_ray
fraldas_higiene,diapers_and_hygiene
market_place,market_place
eletroportateis,small_appliances
watches_gifts,watches_gifts
fashion_roupa_infanto_juvenil,fashion_childrens_clothes
sports_leisure,sports_leisure
moveis_sala,furniture_living_room
moveis_quarto,furniture_bedroom
ferramentas_jardim,garden_tools
alimentos,food
artigos_de_festas,party_supplies
home_utilities,housewares
artes,art
construcao_ferramentas_jardim,costruction_tools_garden
consoles_games,consoles_games
fashion_roupa_feminina,fashio_female_clothing
construcao_ferramentas_construcao,construction_tools_construction
pcs,computers
tablets_impressao_imagem,tablets_printing_image
climatizacao   ,air_conditioning
bed_bath_table,bed_bath_table
fashion_bolsas_e_acessorios,fashion_bags_accessories
moveis_colchao_e_estofado,furniture_mattress_and_upholstery
telefonia,telephony
beauty_health,health_beauty
perfumaria,perfumery
cine_foto,cine_photo
construcao_ferramentas_ferramentas,costruction_tools_tools
market_place,market_place
eletrodomesticos_2,home_appliances_2
moveis_sala,furniture_living_room
artigos_de_natal,christmas_supplies
construcao_ferramentas_iluminacao,construction_tools_lights
fashion_underwear_e_moda_praia,fashion_underwear_beach
artes,art
musica,music
musica,music
bebidas,drinks
construcao_ferramentas_seguranca,construction_tools_safety
instrumentos_musicais,musical_instruments
bebidas,drinks
livros_interesse_geral,books_general_interest
papelaria,stationery
livros_importados,books_imported
eletronicos,electronics
moveis_escritorio,office_furniture
cine_foto,cine_photo
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
eletrodomesticos,home_appliances
agro_industria_e_comercio,agro_industry_and_commerce
pet_shop,pet_shop
computers_accessories,computers_accessories
sinalizacao_e_seguranca,signaling_and_security
fashion_calcados,fashion_shoes
automotive,auto
malas_acessorios,luggage_accessories
sports_leisure,sports_leisure
furniture_decor,furniture_decor
watches_gifts,watches_gifts
audio,audio
la_cuisine,la_cuisine
cool_stuff,cool_stuff
brinquedos,toys
fashion_esporte,fashion_sport
bebes,babies
portateis_cozinha_e_preparadores_de_alimentos,portable kitchen and food preparers
pc_gamer,gaming_pc
